third gene,"(0, 0, 0)","(0, 0, 1)","(0, 1, 0)","(0, 1, 1)","(1, 0, 0)","(1, 0, 1)","(1, 1, 0)","(1, 1, 1)"
HRAS,232,1,25,0,187,0,13,0
MAP2K1,231,2,24,1,187,0,13,0
TSC1,232,1,25,0,187,0,13,0
TSC2,232,1,25,0,181,6,12,1
AKT1,231,2,25,0,185,2,12,1
mTOR,153,3,14,0,109,5,10,0
KMT2D,226,7,24,1,183,4,13,0
BRCA1,229,4,24,1,182,5,13,0
BRCA2,228,5,25,0,182,5,13,0
POLD1,207,0,22,0,155,2,11,0
POLE,233,0,25,0,186,1,13,0
MSH2,232,1,25,0,185,2,13,0
PRKDC,152,4,14,0,106,8,8,2
RAD17,156,0,14,0,114,0,10,0
POLR2A,155,1,14,0,111,3,9,1
PAPPA2,150,6,12,2,109,5,7,3
PXDNL,151,5,14,0,112,2,10,0
RYR1,145,11,12,2,110,4,8,2
SCN8A,153,3,13,1,114,0,9,1
SLIT3,152,4,14,0,111,3,9,1
EPHA3,228,5,24,1,184,3,13,0
PTPRD,230,3,25,0,172,15,12,1
SMG1,154,2,13,1,106,8,9,1
INHBA,204,3,22,0,157,0,11,0
KDR,229,4,25,0,184,3,13,0
FGFR4,231,2,25,0,187,0,13,0
NTRK2,229,4,25,0,187,0,13,0
EPHA7,205,2,22,0,156,1,10,1
PRKCG,153,3,14,0,110,4,10,0
FLT4,229,4,25,0,184,3,13,0
PDGFRA,232,1,25,0,185,2,13,0
CDC27,153,3,14,0,114,0,10,0
SETBP1,151,5,14,0,110,4,9,1
NAV3,148,8,13,1,110,4,8,2
MYC,232,1,25,0,185,2,13,0
FAT1,226,7,25,0,179,8,12,1
NKX2-1,229,4,22,3,187,0,13,0
KIF5B,155,1,14,0,112,2,10,0
TLR4,150,6,14,0,111,3,8,2
GRM1,154,2,14,0,110,4,10,0
TERT,231,2,25,0,184,3,12,1
MDM2,232,1,25,0,186,1,13,0
CCND1,233,0,25,0,187,0,13,0
CDKN2A,226,7,25,0,181,6,12,1
EPRS1,147,9,14,0,111,3,9,1
CTIF,156,0,14,0,113,1,10,0
MTREX,155,1,14,0,112,2,10,0
ADGRL3,151,5,13,1,108,6,10,0
FGFR1,231,2,25,0,185,2,13,0
RBP1,156,0,14,0,114,0,10,0
LMTK2,155,1,14,0,114,0,10,0
NOTCH2,226,7,25,0,183,4,13,0
FGFR2,230,3,25,0,182,5,13,0
AXL,230,3,25,0,187,0,13,0
RIT1,230,3,24,1,186,1,13,0
CCNE1,231,2,25,0,187,0,13,0
TERC,156,0,14,0,114,0,10,0
MECOM,152,4,14,0,111,3,10,0
ZFHX4,145,11,13,1,105,9,9,1
ABCB5,155,1,13,1,111,3,10,0
RELN,149,7,14,0,109,5,8,2
DACH1,154,2,14,0,112,2,10,0
EPHA5,230,3,25,0,186,1,13,0
GNAS,231,2,23,2,185,2,13,0
LTK,156,0,14,0,112,2,10,0
NTRK1,231,2,23,2,180,7,13,0
NTRK3,231,2,25,0,184,3,13,0
PAK3,154,2,14,0,113,1,10,0
SLC38A3,155,1,14,0,114,0,10,0
ZMYND10,156,0,14,0,112,2,10,0
CCND3,232,1,25,0,186,1,13,0
PIK3R1,229,4,24,1,181,6,13,0
PRKAA1,155,1,14,0,113,1,10,0
PRKAA2,155,1,14,0,111,3,10,0
CUL3,229,4,24,1,187,0,12,1
CDK4,232,1,25,0,186,1,13,0
ARID1B,231,2,25,0,182,5,13,0
ARID2,227,6,25,0,185,2,11,2
KNL1,154,2,14,0,112,2,10,0
NACA,152,4,14,0,110,4,10,0
ALPK3,155,1,14,0,113,1,10,0
RNF213,147,9,14,0,110,4,10,0
AKAP9,149,7,13,1,110,4,9,1
CIC,232,1,24,1,184,3,12,1
CDC42BPG,154,2,14,0,114,0,9,1
CREBBP,223,10,23,2,182,5,12,1
JAK2,233,0,25,0,186,1,12,1
MYH9,152,4,14,0,111,3,10,0
BAP1,231,2,24,1,185,2,13,0
MAP3K4,151,5,14,0,114,0,10,0
KAT6B,152,4,14,0,113,1,10,0
CDC42BPB,154,2,14,0,113,1,10,0
PRKCE,155,1,14,0,112,2,10,0
SLC34A2,154,2,14,0,109,5,10,0
MAST4,154,2,14,0,111,3,10,0
CD74,156,0,14,0,113,1,10,0
CCDC6,156,0,13,1,113,1,10,0
SCAF11,155,1,14,0,114,0,10,0
CIT,153,3,14,0,112,2,10,0
MBIP,154,2,14,0,113,1,10,0
MAP3K3,153,3,14,0,113,1,10,0
BCAS3,154,2,14,0,110,4,10,0
APLP2,154,2,13,1,113,1,10,0
TNFSF11,154,2,14,0,114,0,10,0
ERBB3,231,2,24,1,184,3,13,0
SSPOP,148,8,12,2,107,7,9,1
FOXI3,156,0,14,0,113,1,9,1
USPL1,155,1,14,0,112,2,10,0
IFNG,154,2,14,0,114,0,10,0
CCNH,152,4,14,0,112,2,10,0
PRB4,155,1,14,0,113,1,10,0
RPTN,152,4,14,0,110,4,10,0
NBEA,155,1,14,0,111,3,9,1
RNGTT,153,3,12,2,112,2,9,1
ATXN1,155,1,14,0,110,4,10,0
BRI3BP,156,0,14,0,114,0,10,0
CDKN2C,231,2,24,1,186,1,13,0
MAX,232,1,24,1,187,0,13,0
ARHGEF25,156,0,14,0,112,2,10,0
OR2T1,155,1,14,0,111,3,10,0
M6PR,156,0,14,0,114,0,10,0
FKBP2,156,0,14,0,113,1,10,0
LRATD2,156,0,14,0,113,1,10,0
PCDHB14,156,0,14,0,109,5,10,0
SLAIN1,155,1,14,0,114,0,10,0
TAS2R39,156,0,14,0,114,0,10,0
HMGA2,155,1,14,0,113,1,10,0
FOXC1,155,1,14,0,114,0,10,0
ALOX5AP,156,0,14,0,114,0,9,1
RPL39L,156,0,14,0,113,1,10,0
IL32,156,0,14,0,114,0,10,0
AQP7,155,1,13,1,114,0,10,0
VRK2,155,1,14,0,112,2,10,0
CHAD,156,0,13,1,114,0,10,0
SLC5A2,154,2,14,0,111,3,9,1
KLC1,154,2,14,0,113,1,10,0
ERLIN2,155,1,14,0,114,0,10,0
ZSWIM2,155,1,14,0,112,2,10,0
WNT2,156,0,14,0,114,0,10,0
RYK,155,1,14,0,114,0,10,0
FAM71B,153,3,14,0,111,3,10,0
ASCL3,156,0,14,0,113,1,10,0
TATDN3,156,0,14,0,112,2,10,0
MMP17,154,2,14,0,113,1,10,0
ITPRID2,153,3,14,0,111,3,10,0
SOCS7,156,0,14,0,113,1,10,0
POC5,156,0,14,0,114,0,10,0
DSTN,155,1,14,0,113,1,10,0
CTSV,155,1,14,0,112,2,10,0
GPRC5A,156,0,14,0,114,0,10,0
PEX11G,156,0,14,0,113,1,10,0
ERICH3,151,5,14,0,108,6,9,1
ITGB1BP2,156,0,14,0,114,0,10,0
RGS3,155,1,14,0,113,1,10,0
FRG1,155,1,14,0,114,0,9,1
SAYSD1,155,1,14,0,114,0,10,0
MYO3A,154,2,14,0,111,3,10,0
TUBA3C,156,0,14,0,114,0,10,0
SAV1,155,1,14,0,113,1,10,0
MAF1,156,0,14,0,114,0,10,0
CRLF1,154,2,14,0,113,1,10,0
ADRA1B,155,1,14,0,114,0,10,0
SLC47A2,156,0,14,0,113,1,10,0
C2orf74,156,0,14,0,114,0,10,0
KCNRG,154,2,14,0,113,1,10,0
KERA,155,1,14,0,113,1,10,0
KIAA0408,154,2,14,0,114,0,10,0
NEUROD2,156,0,14,0,114,0,9,1
ASTN2,152,4,14,0,112,2,10,0
MAGEB18,156,0,14,0,113,1,10,0
GALP,155,1,14,0,114,0,10,0
CRB1,151,5,13,1,107,7,10,0
SCML1,156,0,14,0,113,1,10,0
MORC2,154,2,14,0,113,1,10,0
CYP11B1,155,1,14,0,112,2,10,0
IL7,155,1,14,0,114,0,10,0
POU6F2,156,0,14,0,113,1,10,0
TRIM26,156,0,14,0,113,1,10,0
LIPI,155,1,14,0,114,0,10,0
OR2AK2,156,0,14,0,114,0,10,0
C3orf38,156,0,14,0,114,0,10,0
OR5D16,155,1,14,0,114,0,10,0
DDX47,155,1,14,0,113,1,10,0
ELAVL3,156,0,14,0,114,0,10,0
FAM180B,156,0,14,0,113,1,10,0
CPXCR1,156,0,14,0,114,0,10,0
ESRRB,156,0,14,0,110,4,10,0
KLHL31,156,0,14,0,113,1,10,0
SHQ1,231,2,25,0,187,0,13,0
CYBRD1,155,1,14,0,113,1,10,0
RASGEF1A,155,1,14,0,113,1,10,0
TMEM184A,154,2,14,0,113,1,9,1
PLAC9,156,0,14,0,114,0,10,0
TCF7,156,0,14,0,114,0,10,0
TGFBR1,229,4,24,1,184,3,13,0
CACNA1C,149,7,14,0,105,9,9,1
ITPRID1,152,4,14,0,111,3,10,0
NDUFB2,154,2,14,0,113,1,10,0
SF3B1,228,5,25,0,185,2,13,0
ASTE1,156,0,14,0,114,0,10,0
ELF3,154,3,14,0,114,0,10,0
BYSL,156,0,14,0,114,0,10,0
TXNDC16,156,0,14,0,112,2,10,0
RNF217,155,1,14,0,114,0,10,0
KNG1,155,1,14,0,113,1,10,0
NAP1L1,156,0,14,0,113,1,10,0
NUCB1,156,0,14,0,113,1,10,0
SNAPC3,156,0,14,0,114,0,10,0
ME2,155,1,13,1,114,0,10,0
EEF1G,155,1,14,0,112,2,10,0
CCT6A,155,1,14,0,114,0,9,1
PPP3R2,155,1,14,0,114,0,10,0
CCDC115,156,0,14,0,112,2,10,0
KRTAP4-3,156,0,14,0,114,0,10,0
TMEM214,156,0,14,0,114,0,10,0
RPS5,156,0,14,0,114,0,10,0
TMC3,156,0,14,0,111,3,10,0
TRIM51,155,1,14,0,114,0,10,0
H3-5,153,3,14,0,114,0,10,0
FRMD6,155,1,14,0,114,0,10,0
VPS52,156,0,14,0,114,0,10,0
OR10V1,156,0,14,0,114,0,10,0
ARSH,155,1,14,0,114,0,10,0
FCGR3B,155,1,14,0,113,1,10,0
LINC01621,156,0,14,0,114,0,10,0
NAA60,156,0,14,0,113,1,10,0
BMP1,153,3,14,0,113,1,10,0
BAIAP2L1,155,1,14,0,113,1,10,0
OR8B2,156,0,14,0,114,0,10,0
UGT1A5,154,2,14,0,113,1,10,0
RPL37,156,0,14,0,112,2,10,0
IRAK3,153,3,14,0,112,2,10,0
ODF1,156,0,14,0,113,1,10,0
REG1A,155,1,14,0,112,2,10,0
KRT37,154,2,14,0,114,0,10,0
IFI44L,155,1,14,0,111,3,10,0
ZNF107,154,2,14,0,112,2,10,0
IL10,233,0,25,0,184,3,13,0
GABRG1,154,2,14,0,113,1,10,0
E2F4,156,0,14,0,114,0,10,0
SNRPD3,156,0,14,0,114,0,10,0
ZNF436,154,2,14,0,113,1,10,0
HLA-C,151,5,14,0,114,0,10,0
CDR1,156,0,14,0,113,1,10,0
OR2M4,154,2,14,0,113,1,10,0
DCTD,155,1,14,0,114,0,10,0
MAGEB3,156,0,14,0,114,0,10,0
EIF3B,152,4,14,0,112,2,10,0
PTX4,155,1,14,0,113,1,10,0
ABLIM1,155,1,14,0,113,1,10,0
IL17F,156,0,14,0,114,0,10,0
FBXO32,156,0,14,0,114,0,10,0
STARD10,156,0,14,0,113,1,10,0
CASP12,156,0,14,0,114,0,10,0
NPAS4,151,5,14,0,113,1,10,0
CEACAM20,155,1,14,0,111,3,10,0
MROH5,156,0,14,0,111,3,10,0
OR2L3,156,0,14,0,112,2,10,0
GNE,155,1,14,0,112,2,10,0
OR4M2,153,3,14,0,114,0,10,0
C2orf15,156,0,14,0,114,0,10,0
PHLPP2,155,1,14,0,110,4,10,0
FCAR,156,0,14,0,112,2,10,0
KCNV2,156,0,14,0,114,0,10,0
ZNF354B,156,0,14,0,113,1,10,0
GCN1,154,2,14,0,112,2,8,2
LY6D,156,0,14,0,114,0,10,0
COIL,156,0,14,0,114,0,10,0
CRYBB3,156,0,14,0,112,2,10,0
USP9X,152,4,14,0,112,2,10,0
DHX40,156,0,14,0,112,2,10,0
TSPAN5,156,0,14,0,113,1,10,0
CLHC1,155,1,14,0,114,0,10,0
TGM6,155,1,14,0,114,0,10,0
MASP1,155,1,14,0,111,3,9,1
CDO1,156,0,14,0,114,0,10,0
RBMX,155,1,14,0,112,2,10,0
NPEPPS,154,2,14,0,110,4,10,0
MTRF1L,155,1,14,0,113,1,10,0
PROX1,154,2,14,0,111,3,10,0
RNASE9,156,0,14,0,114,0,10,0
DSPP,155,1,14,0,113,1,10,0
NDP,155,1,14,0,113,1,10,0
BHMT2,153,3,14,0,114,0,9,1
PRPF19,154,2,14,0,113,1,10,0
SLC12A8,153,3,14,0,113,1,10,0
ULBP1,156,0,14,0,114,0,10,0
HOPX,155,1,14,0,114,0,10,0
PNPLA2,156,0,14,0,113,1,10,0
OR2L8,154,2,14,0,111,3,10,0
CDK19,155,1,14,0,113,1,10,0
CSPP1,155,1,14,0,112,2,10,0
BACE1,152,4,14,0,114,0,10,0
PCK2,156,0,14,0,113,1,10,0
ATP6V1E2,155,1,14,0,114,0,10,0
ACOT9,155,1,14,0,113,1,10,0
KCNA2,156,0,13,1,114,0,10,0
SSX3,156,0,13,1,112,2,10,0
SIGLEC6,155,1,14,0,114,0,9,1
PPIH,156,0,14,0,114,0,10,0
OR51M1,155,1,14,0,113,1,10,0
FSCB,153,3,13,1,113,1,10,0
DNAJC1,155,1,14,0,114,0,10,0
YTHDC2,156,0,14,0,113,1,10,0
BRS3,155,1,14,0,114,0,10,0
NMBR,156,0,14,0,112,2,10,0
ZIK1,154,2,14,0,113,1,10,0
CSRNP3,154,2,14,0,113,1,10,0
ENPEP,154,2,14,0,114,0,10,0
USP14,155,1,14,0,112,2,10,0
NR0B1,155,1,14,0,113,1,10,0
FAM8A1,156,0,14,0,111,3,10,0
ZNF540,155,1,13,1,112,2,10,0
ST8SIA6,155,1,14,0,114,0,9,1
ECRG4,156,0,14,0,112,2,10,0
PABPC1L,153,3,14,0,113,1,9,1
WNT10B,156,0,14,0,113,1,10,0
RFPL1,156,0,14,0,113,1,10,0
TUBA4A,155,1,14,0,114,0,10,0
HLA-A,205,2,22,0,155,2,11,0
RAB5C,156,0,14,0,114,0,10,0
SDF4,155,1,14,0,113,1,10,0
CLSPN,156,0,14,0,113,1,10,0
WDR89,156,0,14,0,113,1,10,0
TRAM1L1,155,1,14,0,113,1,10,0
UGT2B11,155,1,14,0,113,1,10,0
MNDA,153,3,13,1,113,1,10,0
RNF126,156,0,14,0,114,0,10,0
CD86,156,0,14,0,112,2,10,0
RTEL1,155,2,13,1,114,0,9,1
NOS1,151,5,14,0,111,3,10,0
RUFY3,155,1,14,0,109,5,10,0
SHROOM1,156,0,14,0,113,1,10,0
ADAM29,156,0,14,0,114,0,10,0
ESR2,149,7,13,1,107,7,9,1
C1QTNF6,156,0,14,0,114,0,10,0
VPS8,154,2,14,0,111,3,10,0
RPA2,156,0,14,0,114,0,10,0
GAB3,156,0,14,0,113,1,10,0
DPYD,153,3,14,0,111,3,10,0
TM9SF2,155,1,14,0,114,0,10,0
FHOD3,155,1,13,1,108,6,10,0
KHDRBS3,155,1,14,0,114,0,10,0
ZFP41,156,0,14,0,113,1,10,0
SCLT1,156,0,14,0,111,3,9,1
ATP2C1,155,1,14,0,111,3,10,0
REL,233,0,25,0,186,1,13,0
PSG7,155,1,14,0,112,2,10,0
NT5C3A,155,1,14,0,113,1,10,0
LINS1,155,1,14,0,112,2,9,1
HIF1A,155,1,14,0,112,2,10,0
CLEC4M,156,0,14,0,114,0,10,0
ASPRV1,156,0,14,0,114,0,10,0
RP1,153,3,13,1,109,5,10,0
EMX2,156,0,14,0,114,0,10,0
COMMD9,156,0,14,0,113,1,10,0
OR7C2,156,0,14,0,114,0,10,0
EXOSC9,156,0,14,0,114,0,10,0
CSF3,156,0,14,0,113,1,10,0
AGAP1,156,0,14,0,110,4,10,0
MICALL2,156,0,14,0,114,0,10,0
NOSTRIN,151,5,13,1,114,0,10,0
PRSS27,156,0,14,0,114,0,10,0
SNX25,156,0,14,0,114,0,10,0
TDG,156,0,14,0,114,0,10,0
NIPBL,151,5,13,1,107,7,9,1
TMEM37,156,0,14,0,114,0,10,0
CHML,156,0,13,1,114,0,9,1
C17orf98,156,0,14,0,114,0,10,0
OR1G1,155,1,14,0,113,1,10,0
CCNI,155,1,14,0,113,1,10,0
OR2T10,156,0,14,0,113,1,10,0
SPATA20,154,2,14,0,114,0,10,0
KCTD16,155,1,14,0,112,2,10,0
CHD8,149,7,13,1,110,4,10,0
KCNA4,156,0,14,0,110,4,10,0
OR5M8,155,1,14,0,114,0,10,0
UCHL5,155,1,14,0,112,2,10,0
ARFIP2,155,1,14,0,112,2,10,0
VWDE,154,2,13,1,110,4,10,0
TMEM65,156,0,14,0,114,0,10,0
RHOBTB1,156,0,14,0,114,0,10,0
ZNF679,155,1,14,0,113,1,10,0
CDH2,154,2,14,0,110,4,10,0
ZNF121,156,0,14,0,114,0,10,0
OR2AG2,155,1,14,0,114,0,10,0
UFL1,155,1,14,0,113,1,10,0
RSKR,155,1,14,0,112,2,10,0
LOXL2,156,0,13,1,114,0,10,0
ANKK1,155,1,14,0,113,1,10,0
CASP8,231,2,25,0,186,1,13,0
ZNF146,156,0,14,0,112,2,10,0
VHL,232,1,25,0,186,1,12,1
MMP3,155,1,14,0,113,1,10,0
UNC5B,154,2,14,0,114,0,10,0
TLR2,155,1,14,0,113,1,9,1
CSMD3,137,19,11,3,99,15,8,2
PELI2,156,0,14,0,114,0,10,0
RXFP2,156,0,14,0,113,1,10,0
ZC3H4,152,4,14,0,112,2,10,0
NAA11,156,0,14,0,113,1,10,0
LRRC39,156,0,14,0,114,0,10,0
OR4A15,155,1,14,0,114,0,10,0
SYBU,155,1,14,0,110,4,10,0
LIN7A,155,1,14,0,114,0,10,0
KCNK2,153,3,14,0,113,1,10,0
C17orf78,156,0,14,0,113,1,10,0
NUP133,156,0,14,0,114,0,10,0
DNAH9,152,4,11,3,108,6,10,0
DHRS9,156,0,14,0,114,0,10,0
CDC14A,152,4,14,0,113,1,10,0
RNF13,156,0,14,0,114,0,10,0
CD47,155,1,14,0,112,2,9,1
EYA4,154,2,14,0,111,3,10,0
KCNJ11,156,0,14,0,114,0,10,0
ELF1,154,2,14,0,113,1,10,0
SKAP1,154,2,14,0,113,1,9,1
OR5P3,154,2,14,0,114,0,10,0
OR5K3,156,0,14,0,113,1,10,0
HIVEP1,153,3,14,0,112,2,10,0
OR4D9,156,0,14,0,112,2,10,0
PGBD1,151,5,14,0,113,1,10,0
PGK1,151,5,14,0,110,4,8,2
KCNG1,154,2,14,0,112,2,10,0
FAM184B,155,1,14,0,114,0,10,0
DNAJB11,155,1,14,0,114,0,10,0
NEUROD1,156,0,14,0,112,2,10,0
NLRP13,155,1,14,0,112,2,10,0
ZNF716,153,3,14,0,114,0,10,0
NANOG,156,0,14,0,114,0,10,0
NSD3,152,4,13,1,114,0,10,0
MRGPRX2,155,1,14,0,114,0,10,0
PPP1R3B,156,0,14,0,114,0,10,0
TMIGD2,156,0,14,0,113,1,10,0
FIG4,154,2,14,0,111,3,10,0
OR51T1,154,2,14,0,114,0,10,0
PPFIA2,155,1,14,0,109,5,10,0
DMKN,155,1,14,0,114,0,10,0
INPP5F,153,3,14,0,112,2,10,0
ACSL6,155,1,14,0,111,3,10,0
DNAJC2,156,0,14,0,113,1,10,0
HNRNPCL1,156,0,14,0,114,0,10,0
SLC6A18,156,0,14,0,112,2,10,0
AFP,156,0,14,0,112,2,10,0
SLC44A3,155,1,14,0,112,2,10,0
TGOLN2,155,1,14,0,114,0,10,0
ST8SIA1,156,0,14,0,111,3,10,0
FCRL6,155,1,14,0,112,2,10,0
KIF1B,151,5,14,0,111,3,10,0
RDH8,154,2,14,0,113,1,10,0
PTPRR,155,1,12,2,111,3,10,0
CYLC1,153,3,13,1,112,2,10,0
GPRC6A,153,3,13,1,112,2,10,0
F11,156,0,14,0,113,1,10,0
CLCN4,155,1,14,0,113,1,10,0
TST,156,0,14,0,114,0,10,0
PTPN6,153,3,14,0,113,1,10,0
CYP7B1,153,3,14,0,114,0,9,1
STRA8,155,1,14,0,114,0,10,0
HTR1E,155,1,13,1,113,1,10,0
OR10H3,154,2,14,0,114,0,10,0
ZNF615,156,0,14,0,112,2,10,0
MGAT5B,154,2,14,0,112,2,10,0
ZNF324,155,1,14,0,114,0,9,1
CAMK1,155,1,14,0,113,1,10,0
AGMAT,156,0,14,0,113,1,10,0
NLRP9,154,2,14,0,114,0,10,0
ADPRH,156,0,14,0,113,1,10,0
RDH13,156,0,14,0,114,0,10,0
FER,155,1,14,0,114,0,10,0
CADM3,154,2,14,0,112,2,10,0
XRCC3,156,0,14,0,113,1,10,0
DPPA4,155,1,14,0,112,2,10,0
BTNL8,156,0,14,0,112,2,10,0
USH2A,137,19,11,3,101,13,8,2
IQCD,156,0,14,0,114,0,10,0
GPR37L1,156,0,14,0,113,1,10,0
OR10Q1,156,0,14,0,112,2,10,0
LHX2,156,0,14,0,112,2,10,0
ERAP2,154,2,14,0,111,3,10,0
LMBR1L,155,1,14,0,114,0,10,0
ZNF621,156,0,13,1,112,2,10,0
RORB,156,0,14,0,113,1,10,0
OR51F2,153,3,14,0,113,1,10,0
C12orf42,156,0,14,0,114,0,10,0
CTSH,156,0,14,0,114,0,10,0
PPP2R2B,152,4,14,0,113,1,9,1
ARHGAP9,154,2,14,0,113,1,10,0
ADAM23,153,3,13,1,110,4,10,0
ATP1A2,156,0,14,0,112,2,10,0
SCARF1,156,0,14,0,113,1,10,0
IFIT3,155,1,14,0,114,0,10,0
SLC23A3,155,1,14,0,113,1,10,0
EIF3F,155,1,14,0,114,0,10,0
CPNE3,155,1,14,0,113,1,10,0
UAP1,156,0,14,0,113,1,10,0
MROH7,155,1,14,0,108,6,10,0
RNF130,156,0,14,0,114,0,10,0
OR52N2,155,1,14,0,114,0,10,0
ITGAL,155,1,13,1,113,1,9,1
RSPH4A,156,0,14,0,114,0,10,0
SLC14A2,156,0,13,1,114,0,9,1
EHBP1,155,1,13,1,109,5,10,0
FREM1,152,4,14,0,110,4,9,1
GOLGA3,154,2,14,0,113,1,10,0
DLK1,156,0,14,0,112,2,10,0
MOSPD2,153,3,14,0,112,2,10,0
ABCC10,153,3,14,0,114,0,10,0
KCTD7,154,2,14,0,112,2,10,0
BABAM2,151,5,13,1,114,0,10,0
TPP1,155,1,14,0,114,0,10,0
UGT2B28,153,3,14,0,114,0,10,0
CEP192,155,1,14,0,111,3,10,0
PDE1B,154,2,14,0,113,1,10,0
F7,155,1,14,0,113,1,9,1
LRRC71,156,0,14,0,113,1,10,0
ATG13,153,3,14,0,113,1,10,0
NPY5R,155,1,14,0,113,1,10,0
PABPC1,154,2,14,0,114,0,10,0
PDE3B,154,2,14,0,112,2,9,1
PCDHB11,156,0,13,1,113,1,7,3
IHH,155,1,14,0,114,0,10,0
AGT,156,0,14,0,113,1,10,0
RYR2,141,15,13,1,94,20,9,1
ABLIM3,148,8,14,0,111,3,10,0
NT5C1A,156,0,14,0,113,1,10,0
VN1R2,155,1,14,0,114,0,10,0
TYSND1,156,0,14,0,113,1,10,0
NLRP2,154,2,14,0,112,2,9,1
GABRR1,155,1,14,0,112,2,10,0
CCKAR,156,0,14,0,112,2,10,0
TARS3,151,5,14,0,113,1,10,0
PPP3CC,155,1,14,0,113,1,10,0
PSKH1,155,1,14,0,113,1,10,0
AGMO,153,3,14,0,111,3,10,0
TMEM67,156,0,14,0,114,0,10,0
NIBAN3,154,2,14,0,112,2,10,0
GK5,154,2,14,0,114,0,10,0
VSX2,156,0,14,0,114,0,10,0
SETD1B,156,0,14,0,112,2,10,0
IFT57,155,1,14,0,112,2,10,0
TMEM26,155,1,14,0,113,1,10,0
WDTC1,156,0,14,0,114,0,10,0
MAP4K3,155,1,14,0,108,6,10,0
RBM45,156,0,14,0,113,1,10,0
TMC4,154,2,14,0,111,3,9,1
CDH3,155,1,14,0,113,1,10,0
USP6NL,156,0,14,0,114,0,10,0
PCNX2,155,1,14,0,107,7,9,1
KIF26A,154,2,14,0,110,4,10,0
AGPAT5,156,0,14,0,114,0,10,0
NPY4R,155,1,14,0,114,0,10,0
SCFD2,155,1,13,1,114,0,10,0
NEU2,155,1,14,0,114,0,10,0
SLC8A1,151,5,14,0,111,3,9,1
USP29,155,1,12,2,113,1,10,0
PUM3,155,1,14,0,113,1,10,0
MMP21,156,0,14,0,114,0,10,0
TCIRG1,156,0,14,0,113,1,10,0
KRT24,155,1,14,0,113,1,10,0
PKD2L1,154,2,14,0,114,0,9,1
PYHIN1,155,1,14,0,111,3,10,0
RIOX1,156,0,14,0,113,1,10,0
SMG8,156,0,14,0,113,1,9,1
ZNF561,155,1,14,0,114,0,10,0
CEACAM18,156,0,14,0,114,0,10,0
TBC1D22B,156,0,14,0,114,0,10,0
ARHGAP12,156,0,14,0,111,3,10,0
KRT82,155,1,14,0,114,0,10,0
ZNF584,155,1,14,0,113,1,10,0
CLIP2,154,2,14,0,112,2,10,0
COL11A2,153,3,14,0,110,4,10,0
POLR3C,156,0,14,0,112,2,10,0
MUC21,155,1,14,0,114,0,10,0
NASP,153,3,14,0,114,0,10,0
ICAM3,156,0,14,0,113,1,10,0
MFAP1,156,0,14,0,113,1,10,0
SLCO1C1,155,1,14,0,113,1,10,0
TRPS1,152,4,14,0,110,4,9,1
CCT4,154,2,14,0,114,0,10,0
HOMEZ,156,0,14,0,113,1,10,0
VEZT,154,2,14,0,113,1,10,0
SNTG1,153,3,14,0,113,1,10,0
KIF21A,153,3,14,0,111,3,10,0
ARHGAP35,153,3,14,0,110,4,10,0
DDC,155,1,14,0,113,1,10,0
SPRED2,155,1,14,0,114,0,10,0
TBX15,155,1,14,0,110,4,9,1
NCAPD3,153,3,14,0,113,1,10,0
SLC28A3,155,1,14,0,114,0,10,0
CEP120,154,2,14,0,111,3,9,1
